Unnamed: 0,CG_RMSD,RMSD,MCQ,TM-score
normalized_alphafold3_rp14_bound_1.pdb,1.888705654363875,8.525,12.6,0.358
normalized_best_rp14_bound_27.pdb,1.356367563854237,12.52,22.01,0.293
normalized_best_rp14_bound_22.pdb,1.452447838648813,12.431,21.76,0.287
normalized_best_rp14_bound_7.pdb,1.356367563854237,12.52,22.01,0.293
normalized_best_rp14_bound_39.pdb,1.4395604197087688,11.255,23.48,0.237
normalized_best_rp14_bound_32.pdb,1.802010402991126,12.147,23.24,0.321
normalized_best_rp14_bound_35.pdb,1.8291233687314552,13.998,24.17,0.231
normalized_best_rp14_bound_37.pdb,1.3674555123486982,7.666,22.32,0.347
normalized_3drna_rp14_bound.pdb,1.9514330412154155,18.312,33.46,0.199
normalized_best_rp14_bound_15.pdb,1.3852790338690686,16.665,22.22,0.242
normalized_best_rp14_bound_49.pdb,1.3392610298580272,12.867,24.79,0.199
normalized_simrna_rp14_bound.pdb,2.0964171712930213,48.416,49.07,0.09
normalized_3drna_rp14_bound_1.pdb,1.7800545584104677,15.188,26.76,0.321
normalized_best_rp14_bound_41.pdb,1.3556103876095384,11.26,23.41,0.324
